source_file,source_site,name,price,ratings,reviews,url,power_w,diameter_m,rotor_radius_m,wind_speed_mps,power_coefficient
output/alibaba_products_wind_turbine.csv,alibaba,High Static Pressure Cross Flow Fan 230V Aluminum Alloy Industrial Tangential Blower 50Hz 60Hz Low MOQ,N/A,N/A,,https://www.alibaba.com/product-detail/High-Static-Pressure-Cross-Flow-Fan_1601777248238.html,,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Factory 1 Mw Alibaba 500Kw 48V Generator 220V 10Kw Vertical Axis Wind Turbine 100Kw,N/A,N/A,,https://www.alibaba.com/product-detail/Factory-1-Mw-Alibaba-500Kw-48V_1600559622087.html,1000000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Hot Selling 5KW 10KW 15KW Vertical Axis Wind Turbine Generator 48V 96V 120V Windmills For Industry,N/A,N/A,,https://www.alibaba.com/product-detail/Hot-Selling-5KW-10KW-15KW-Vertical_1601371352543.html,15000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,5KW 10KW Wind Turbine Power Generator and 5KW Solar Panels Hybrid Power System Solar System for Home Farm Use,N/A,N/A,,https://www.alibaba.com/product-detail/5KW-10KW-Wind-Turbine-Power-Generator_1601081311616.html,10000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Wind Turbine Generator With Inner Fiberglass Blades Wind Fan Recycle Machine Solution,N/A,N/A,,https://www.alibaba.com/product-detail/Wind-Turbine-Generator-With-Inner-Fiberglass_1601286111262.html,,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Elege Roof Mount Residential 1kw 5kw 12V 24V 48V Vertical Axis Wind Mill Turbine Generator Free Power Generation System for Home,N/A,N/A,,https://www.alibaba.com/product-detail/Hot-Sale-Roof-Mount-Residential-500w_1601223671367.html,5000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,10Kw for Sale Small Wind Turbine Motor Made in China,N/A,N/A,,https://www.alibaba.com/product-detail/10Kw-For-Sale-Small-Wind-Turbine_1601167161485.html,10000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Hot All in One off Grid Hybrid Solar Wind Turbine System 48V 96V 220V 380V 5kw 10kw 15kw 20kW Also Called Solar System,N/A,N/A,,https://www.alibaba.com/product-detail/Hot-All-in-one-off-grid_1600609011861.html,20000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,On off Grid Hybrid Inverter Wind Generator Wind Turbine Generator Inverter,N/A,N/A,,https://www.alibaba.com/product-detail/30kW-Hybrid-MPPT-Controller-and-Inverter_1601448607383.html,30000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Wind Turbine Generator Off Grid System 2500w 3500w 1500w Complete Kit Wind Power for Home Use Solar System,N/A,N/A,,https://www.alibaba.com/product-detail/Wind-Turbine-Generator-Off-Grid-System_1601107873037.html,3500.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,Hybrid System 220v 380v Windmill Free Energy 5kw 10kw 20kw 30kw 50kw 100kw Vertical Axis Generator For Farm Use,N/A,N/A,,https://www.alibaba.com/product-detail/Hybrid-System-220v-380v-Windmill-Free_1601639354009.html,100000.00,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,EN24 Forged Wind Turbine Main Shaft Heavy Duty for Wind Energy Supplier,N/A,N/A,,https://www.alibaba.com/product-detail/EN24-Forged-Wind-Turbine-Main-Shaft_1601735229908.html,,,,12.00,
output/alibaba_products_wind_turbine.csv,alibaba,30m 60m Galvanised Steel Tubular Guyed Mast Wind Tower,N/A,N/A,,https://www.alibaba.com/product-detail/30m-60m-Galvanised-Steel-Tubular-Guyed_1601624939526.html,,60.000,30.000,12.00,
