name,price,ratings,url
5000W Vertical Wind Turbine High Efficiency Windmill 12v 24v 48v Wind Energy Generator Eectric Generator Home Appliance Camping,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5222606974.html
600W/1000W Wind Turbine 12V 24V Mild Wind Start Magnetic Levitation Generator High-Power 220V Inverter Output Wind,N/A,N/A,https://www.lazada.com.ph/products/pdp-i4244931148.html
Wind Generator 300W/400W/500W/600W Wind Generator AC12V 24V Wind Turbines Wind Turbines Motor Generator with 3 Nylon Fiber Blades Wind Power Generator with Charge Controller for Home Marine Industrial Energy(Not included mast),N/A,N/A,https://www.lazada.com.ph/products/pdp-i5224947981.html
(With MPPT controller)500W Wind Turbines Generator AC12V/24V Wind Turbines Generator with 3 Blades,N/A,N/A,https://www.lazada.com.ph/products/pdp-i3150125074.html
Gemvan Wind Turbine Generator,N/A,N/A,https://www.lazada.com.ph/products/pdp-i4588458403.html
Wind Turbine 12V 24V 48V S-type Horizontal Axis 6 Blade 800W Breeze Activated Wind Solar Complementary Street Light Wind Turbine Generator,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5158186583.html
【Fast delivery】 3-Phase Electric Wind Turbine Generator DIY Brushless Power Motor AC/DC9V-72V,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5025842829.html
300W/400W/500W/600W Wind Turbine Generator 12V/24V 5 Blades Nylon Fiber Auto Wind Direction Electromagnetic Brake Ideal for Home Outdoor Use White,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5224970400.html
🔶(With MPPT controller)300W/400W/500W/600W Wind Turbines Generator AC12V/24V Wind Turbines Generator with 3 Blades,N/A,N/A,https://www.lazada.com.ph/products/pdp-i4942721103.html
【With Mppt Control】Wind Generator 300W / 400W / 500W / 600W Wind Generator 12V 24V Wind Turbines Wind Turbines Generator with 3 Nylon Fiber Blades Not Included Pole,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5104301620.html
1000W Peak 12V/24V/48V 6 Blades Horizontal Wind Turbine Generator Residential Home Windmill Power Generator,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5339922034.html
Aibecy Green Wind Turbine Green Lantern‑Shaped Wind Power Generator with Controller for Charging Boats Terraces Cabins Mobile Homes,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5222416527.html
100W wind generator Wind Turbine Motor 3 Blades Wind Power Generator with Charge Controller for Home Marine Industrial Energy(Not included mast),N/A,N/A,https://www.lazada.com.ph/products/pdp-i3744851868.html
Wind Driven Generator 1200W Motor Kit Wind Turbine with Controller for Boat for Home,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5066789802.html
Small 300W-600W Horizontal Axis Wind Turbine Generator Home Use Wind Power Generator Easy Installation by Jiangsu Naiel Wind Power,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5198466056.html
【Weliba】 Swinging Tail Wind Turbine Generator Kit Teach Physics Concepts Creatively [New Home Products Hot Sale],N/A,N/A,https://www.lazada.com.ph/products/pdp-i15398729916.html
1000w Wind Turbine Generator 12V 24V 48V DC 220v AC Home Sys,N/A,N/A,https://www.lazada.com.ph/products/pdp-i4823137868.html
Wind Turbines 2m/s Start Speed 2 Layer Wind Power Generator 1200W AC Lantern Type Energy Charge for Home for Boat,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5067115529.html
Green Wind Turbine 4 Blades Wind Power Generator for Charging Boats Terraces Cabins Mobile Homes,N/A,N/A,https://www.lazada.com.ph/products/pdp-i5302299224.html
